"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","apm:apmNumber","apm:apmYear","apm:beginningBatesNumber","apm:endingBatesNumber","apm:startImage","apm:endImage","apm:boxSequence","apm:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
41732,"GMD042421.pdf","GMD042421.pdf","All Participant Memos","APMs","All Participant Memos","","95-28 - 1995","95-28","1995","APMS-0005-1221","APMS-0005-1221","1","1","503","APMs","","GMD042421","1"
9407206,"GMD042426.pdf","GMD042426.pdf","All Participant Memos","APMs","All Participant Memos","","96-6 - 1996","96-6","1996","APMS-0005-1243","APMS-0005-1460","1","218","508","APMs","","GMD042426","1"
83997,"GMD042435.pdf","GMD042435.pdf","All Participant Memos","APMs","All Participant Memos","","96-15 - 1996","96-15","1996","APMS-0005-1522","APMS-0005-1523","1","2","517","APMs","","GMD042435","1"
96477,"GMD042444.pdf","GMD042444.pdf","All Participant Memos","APMs","All Participant Memos","","96-24 - 1996","96-24","1996","APMS-0005-1656","APMS-0005-1658","1","3","526","APMs","","GMD042444","1"
57143,"GMD042448.pdf","GMD042448.pdf","All Participant Memos","APMs","All Participant Memos","","96-28 - 1996","96-28","1996","APMS-0005-1947","APMS-0005-1948","1","2","530","APMs","","GMD042448","1"
544328,"GMD042452.pdf","GMD042452.pdf","All Participant Memos","APMs","All Participant Memos","","96-32 - 1996","96-32","1996","APMS-0005-1955","APMS-0005-1970","1","16","534","APMs","","GMD042452","1"
610202,"GMD042460.pdf","GMD042460.pdf","All Participant Memos","APMs","All Participant Memos","","97-6 - 1997","97-6","1997","APMS-0005-2077","APMS-0005-2095","1","19","542","APMs","","GMD042460","1"
1152266,"GMD042464.pdf","GMD042464.pdf","All Participant Memos","APMs","All Participant Memos","","97-10 - 1997","97-10","1997","APMS-0005-2118","APMS-0005-2145","1","28","546","APMs","","GMD042464","1"
142531,"GMD042468.pdf","GMD042468.pdf","All Participant Memos","APMs","All Participant Memos","","97-14 - 1997","97-14","1997","APMS-0005-2176","APMS-0005-2179","1","4","550","APMs","","GMD042468","1"
55028,"GMD042472.pdf","GMD042472.pdf","All Participant Memos","APMs","All Participant Memos","","97-18 - 1997","97-18","1997","APMS-0005-2210","APMS-0005-2210","1","1","554","APMs","","GMD042472","1"
200371,"GMD042476.pdf","GMD042476.pdf","All Participant Memos","APMs","All Participant Memos","","97-22 - 1997","97-22","1997","APMS-0005-2241","APMS-0005-2247","1","7","558","APMs","","GMD042476","1"
39153,"GMD042480.pdf","GMD042480.pdf","All Participant Memos","APMs","All Participant Memos","","97-26 - 1997","97-26","1997","APMS-0005-2273","APMS-0005-2273","1","1","562","APMs","","GMD042480","1"
2838391,"GMD042484.pdf","GMD042484.pdf","All Participant Memos","APMs","All Participant Memos","","97-30 - 1997","97-30","1997","APMS-0005-2290","APMS-0005-2338","1","49","566","APMs","","GMD042484","1"
456592,"GMD042650.pdf","GMD042650.pdf","All Participant Memos","APMs","All Participant Memos","","97-12 - 1997","97-12","1997","APMS-0005-2150","APMS-0005-2162","1","13","548","APMs","","GMD042650","1"
394098,"GMD042654.pdf","GMD042654.pdf","All Participant Memos","APMs","All Participant Memos","","97-16 - 1997","97-16","1997","APMS-0005-2186","APMS-0005-2196","1","11","552","APMs","","GMD042654","1"
838642,"GMD042658.pdf","GMD042658.pdf","All Participant Memos","APMs","All Participant Memos","","97-20 - 1997","97-20","1997","APMS-0005-2214","APMS-0005-2235","1","22","556","APMs","","GMD042658","1"
28627,"GMD042661.pdf","GMD042661.pdf","All Participant Memos","APMs","All Participant Memos","","97-23 - 1997","97-23","1997","APMS-0005-2248","APMS-0005-2248","1","1","559","APMs","","GMD042661","1"
917341,"GMD042662.pdf","GMD042662.pdf","All Participant Memos","APMs","All Participant Memos","","97-24 - 1997","97-24","1997","APMS-0005-2249","APMS-0005-2271","1","23","560","APMs","","GMD042662","1"
95027,"GMD042665.pdf","GMD042665.pdf","All Participant Memos","APMs","All Participant Memos","","97-27 - 1997","97-27","1997","APMS-0005-2274","APMS-0005-2275","1","2","563","APMs","","GMD042665","1"
1253174,"GMD042671.pdf","GMD042671.pdf","All Participant Memos","APMs","All Participant Memos","","97-33 - 1997","97-33","1997","APMS-0005-2361","APMS-0005-2383","1","23","569","APMs","","GMD042671","1"
46419,"GMD042675.pdf","GMD042675.pdf","All Participant Memos","APMs","All Participant Memos","","97-37 - 1997","97-37","1997","APMS-0005-2430","APMS-0005-2430","1","1","573","APMs","","GMD042675","1"
25936,"GMD042679.pdf","GMD042679.pdf","All Participant Memos","APMs","All Participant Memos","","97-41 - 1997","97-41","1997","APMS-0005-2435","APMS-0005-2435","1","1","577","APMs","","GMD042679","1"
1614898,"GMD042683.pdf","GMD042683.pdf","All Participant Memos","APMs","All Participant Memos","","1 - 2210.3 REV 8, Contents","1","2210.3 REV 8, Contents","APMS-0006-0601","APMS-0006-0638","1","38","581","APMs","","GMD042683","1"
22708,"GMD042687.pdf","GMD042687.pdf","All Participant Memos","APMs","All Participant Memos","","5 - 2210.3 REV 8, Contents","5","2210.3 REV 8, Contents","APMS-0006-0802","APMS-0006-0803","1","2","585","APMs","","GMD042687","1"
371002,"GMD042509.pdf","GMD042509.pdf","All Participant Memos","APMs","All Participant Memos","","92-3 - 1992","92-3","1992","APMS-0005-0029","APMS-0005-0039","1","11","407","APMs","","GMD042509","1"
203023,"GMD042510.pdf","GMD042510.pdf","All Participant Memos","APMs","All Participant Memos","","92-4 - 1992","92-4","1992","APMS-0005-0040","APMS-0005-0047","1","8","408","APMs","","GMD042510","1"
171545,"GMD042513.pdf","GMD042513.pdf","All Participant Memos","APMs","All Participant Memos","","92-7 - 1992","92-7","1992","APMS-0005-0120","APMS-0005-0123","1","4","411","APMs","","GMD042513","1"
1389963,"GMD042514.pdf","GMD042514.pdf","All Participant Memos","APMs","All Participant Memos","","92-8 - 1992","92-8","1992","APMS-0005-0124","APMS-0005-0161","1","38","412","APMs","","GMD042514","1"
91112,"GMD042517.pdf","GMD042517.pdf","All Participant Memos","APMs","All Participant Memos","","92-12 - 1992","92-12","1992","APMS-0005-0174","APMS-0005-0175","1","3","415","APMs","","GMD042517","1"
1913500,"GMD042518.pdf","GMD042518.pdf","All Participant Memos","APMs","All Participant Memos","","92-13 - 1992","92-13","1992","APMS-0005-0176","APMS-0005-0234","1","59","416","APMs","","GMD042518","1"
2575826,"GMD042508.pdf","GMD042508.pdf","All Participant Memos","APMs","All Participant Memos","","92-1 - 1992","92-1","1992","APMS-0005-0001","APMS-0005-0028","1","28","405","APMs","","GMD042508","1"
2264323,"GMD042512.pdf","GMD042512.pdf","All Participant Memos","APMs","All Participant Memos","","92-6 - 1992","92-6","1992","APMS-0005-0058","APMS-0005-0119","1","62","410","APMs","","GMD042512","1"
380834,"GMD042516.pdf","GMD042516.pdf","All Participant Memos","APMs","All Participant Memos","","92-10 G571 11 - 1992","92-10 G571 11","1992","APMS-0005-0164","APMS-0005-0173","1","10","414","APMs","","GMD042516","1"
168228,"GMD042520.pdf","GMD042520.pdf","All Participant Memos","APMs","All Participant Memos","","92-15 - 1992","92-15","1992","APMS-0005-0239","APMS-0005-0246","1","8","418","APMs","","GMD042520","1"
445678,"GMD042524.pdf","GMD042524.pdf","All Participant Memos","APMs","All Participant Memos","","92-19 - 1992","92-19","1992","APMS-0005-0252","APMS-0005-0267","1","16","422","APMs","","GMD042524","1"
104477,"GMD042528.pdf","GMD042528.pdf","All Participant Memos","APMs","All Participant Memos","","92-23 - 1992","92-23","1992","APMS-0005-0303","APMS-0005-0305","1","3","426","APMs","","GMD042528","1"
84476,"GMD042532.pdf","GMD042532.pdf","All Participant Memos","APMs","All Participant Memos","","92-27 - 1992","92-27","1992","APMS-0005-0400","APMS-0005-0401","1","2","430","APMs","","GMD042532","1"
138713,"GMD042536.pdf","GMD042536.pdf","All Participant Memos","APMs","All Participant Memos","","93-3 - 1993","93-3","1993","APMS-0005-0412","APMS-0005-0415","1","4","434","APMs","","GMD042536","1"
89903,"GMD042540.pdf","GMD042540.pdf","All Participant Memos","APMs","All Participant Memos","","93-7 - 1993","93-7","1993","APMS-0005-0482","APMS-0005-0484","1","3","438","APMs","","GMD042540","1"
38128,"GMD042544.pdf","GMD042544.pdf","All Participant Memos","APMs","All Participant Memos","","93-11 - 1993","93-11","1993","APMS-0005-0489","APMS-0005-0489","1","1","442","APMs","","GMD042544","1"
386441,"GMD042548.pdf","GMD042548.pdf","All Participant Memos","APMs","All Participant Memos","","93-15 - 1993","93-15","1993","APMS-0005-0536","APMS-0005-0546","1","11","446","APMs","","GMD042548","1"
44272,"GMD042552.pdf","GMD042552.pdf","All Participant Memos","APMs","All Participant Memos","","93-19 - 1993","93-19","1993","APMS-0005-0651","APMS-0005-0651","1","1","450","APMs","","GMD042552","1"
355736,"GMD042556.pdf","GMD042556.pdf","All Participant Memos","APMs","All Participant Memos","","94-2 - 1994","94-2","1994","APMS-0005-0656","APMS-0005-0665","1","10","454","APMs","","GMD042556","1"
2332422,"GMD042560.pdf","GMD042560.pdf","All Participant Memos","APMs","All Participant Memos","","94-6 - 1994","94-6","1994","APMS-0005-0671","APMS-0005-0720","1","50","458","APMs","","GMD042560","1"
44915,"GMD042563.pdf","GMD042563.pdf","All Participant Memos","APMs","All Participant Memos","","94-9 - 1994","94-9","1994","APMS-0005-0727","APMS-0005-0727","1","1","461","APMs","","GMD042563","1"
33487,"GMD042565.pdf","GMD042565.pdf","All Participant Memos","APMs","All Participant Memos","","94-11 - 1994","94-11","1994","APMS-0005-0730","APMS-0005-0730","1","1","463","APMs","","GMD042565","1"
464993,"GMD042569.pdf","GMD042569.pdf","All Participant Memos","APMs","All Participant Memos","","94-15 - 1994","94-15","1994","APMS-0005-0748","APMS-0005-0760","1","13","467","APMs","","GMD042569","1"
670267,"GMD042573.pdf","GMD042573.pdf","All Participant Memos","APMs","All Participant Memos","","94-19 - 1994","94-19","1994","APMS-0005-0825","APMS-0005-0838","1","14","471","APMs","","GMD042573","1"
118528,"GMD042581.pdf","GMD042581.pdf","All Participant Memos","APMs","All Participant Memos","","95-4 - 1995","95-4","1995","APMS-0005-0919","APMS-0005-0921","1","3","479","APMs","","GMD042581","1"
1364019,"GMD042585.pdf","GMD042585.pdf","All Participant Memos","APMs","All Participant Memos","","95-8 - 1995","95-8","1995","APMS-0005-0937","APMS-0005-0974","1","38","483","APMs","","GMD042585","1"
2180222,"GMD042589.pdf","GMD042589.pdf","All Participant Memos","APMs","All Participant Memos","","95-12 - 1995","95-12","1995","APMS-0005-0999","APMS-0005-1049","1","51","487","APMs","","GMD042589","1"
1421527,"GMD042593.pdf","GMD042593.pdf","All Participant Memos","APMs","All Participant Memos","","95-16 - 1995","95-16","1995","APMS-0005-1062","APMS-0005-1101","1","40","491","APMs","","GMD042593","1"
52091,"GMD042597.pdf","GMD042597.pdf","All Participant Memos","APMs","All Participant Memos","","95-20 - 1995","95-20","1995","APMS-0005-1141","APMS-0005-1141","1","1","495","APMs","","GMD042597","1"
216241,"GMD042601.pdf","GMD042601.pdf","All Participant Memos","APMs","All Participant Memos","","95-24 - 1995","95-24","1995","APMS-0005-1160","APMS-0005-1164","1","5","499","APMs","","GMD042601","1"
41732,"GMD042605.pdf","GMD042605.pdf","All Participant Memos","APMs","All Participant Memos","","95-28 - 1995","95-28","1995","APMS-0005-1221","APMS-0005-1221","1","1","503","APMs","","GMD042605","1"
466107,"GMD042609.pdf","GMD042609.pdf","All Participant Memos","APMs","All Participant Memos","","95-32 - 1995","95-32","1995","APMS-0005-1230","APMS-0005-1242","1","13","507","APMs","","GMD042609","1"
303743,"GMD042613.pdf","GMD042613.pdf","All Participant Memos","APMs","All Participant Memos","","96-9 - 1996","96-9","1996","APMS-0005-1474","APMS-0005-1480","1","7","511","APMs","","GMD042613","1"
27428,"GMD042617.pdf","GMD042617.pdf","All Participant Memos","APMs","All Participant Memos","","96-13 - 1996","96-13","1996","APMS-0005-1512","APMS-0005-1512","1","1","515","APMs","","GMD042617","1"
43352,"GMD042621.pdf","GMD042621.pdf","All Participant Memos","APMs","All Participant Memos","","96-17 - 1996","96-17","1996","APMS-0005-1525","APMS-0005-1525","1","1","519","APMs","","GMD042621","1"
54745,"GMD042635.pdf","GMD042635.pdf","All Participant Memos","APMs","All Participant Memos","","96-31 - 1996","96-31","1996","APMS-0005-1953","APMS-0005-1954","1","2","533","APMs","","GMD042635","1"
458750,"GMD042639.pdf","GMD042639.pdf","All Participant Memos","APMs","All Participant Memos","","97-1 - 1997","97-1","1997","APMS-0005-1987","APMS-0005-1999","1","13","537","APMs","","GMD042639","1"
