"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
3402562,"GMD038207.pdf","GMD038207.pdf","CapitalMarkets","Historical","CapitalMarkets","","Binder - Thacher Proffit & Wood LLP Contract 2007","","CAPITAL MARKETS","","Historical","","GMD038207","","","",0
8564899,"GMD038208.pdf","GMD038208.pdf","CapitalMarkets","Historical","CapitalMarkets","","Capital Markets Contract C-OPC-22733 Ernst & Young","","CAPITAL MARKETS","","Historical","","GMD038208","","","",0
5674462,"GMD038209.pdf","GMD038209.pdf","CapitalMarkets","Historical","CapitalMarkets","","BARCLAYS CAPITAL RESEARCH JANUARY 2009","","CAPITAL MARKETS","","Historical","","GMD038209","","","",0
2607175,"GMD038210.pdf","GMD038210.pdf","CapitalMarkets","Historical","CapitalMarkets","","THAHCER PROFFITT & WOOD LLP 2007 SANDY 7/11/08","","CAPITAL MARKETS","","Historical","","GMD038210","","","",0
2494652,"GMD038211.pdf","GMD038211.pdf","CapitalMarkets","Historical","CapitalMarkets","","PIMCO","","CAPITAL MARKETS","","Historical","","GMD038211","","","",0
