"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
523629,"GMD007926.pdf","GMD007926.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-057_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007926","1","MCDF-0176-1026","2013-057",2013
671898,"GMD007934.pdf","GMD007934.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-058_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007934","1","MCDF-0176-1098","2013-058",2013
559101,"GMD007942.pdf","GMD007942.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-059_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007942","1","MCDF-0176-1168","2013-059",2013
681676,"GMD007950.pdf","GMD007950.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-060_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007950","1","MCDF-0176-1250","2013-060",2013
523568,"GMD007958.pdf","GMD007958.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-061_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007958","1","MCDF-0176-1326","2013-061",2013
705252,"GMD007966.pdf","GMD007966.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-062_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007966","1","MCDF-0176-1398","2013-062",2013
564490,"GMD007974.pdf","GMD007974.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-063_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007974","1","MCDF-0176-1564","2013-063",2013
692897,"GMD007982.pdf","GMD007982.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-064_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007982","1","MCDF-0176-1674","2013-064",2013
557942,"GMD007990.pdf","GMD007990.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-065_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007990","1","MCDF-0176-2056","2013-065",2013
679005,"GMD007998.pdf","GMD007998.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-066_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD007998","1","MCDF-0176-2126","2013-066",2013
686723,"GMD008006.pdf","GMD008006.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-067_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008006","1","MCDF-0176-2251","2013-067",2013
536092,"GMD008030.pdf","GMD008030.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-068_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008030","1","MCDF-0177-0001","2013-068",2013
669005,"GMD008038.pdf","GMD008038.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-069_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008038","1","MCDF-0177-0079","2013-069",2013
637693,"GMD008046.pdf","GMD008046.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-070_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008046","1","MCDF-0177-0700","2013-070",2013
628432,"GMD008054.pdf","GMD008054.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-071_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008054","1","MCDF-0177-0840","2013-071",2013
519834,"GMD008062.pdf","GMD008062.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-072_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008062","1","MCDF-0177-0944","2013-072",2013
512516,"GMD008070.pdf","GMD008070.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-073_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008070","1","MCDF-0177-1025","2013-073",2013
527811,"GMD008078.pdf","GMD008078.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-074_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008078","1","MCDF-0177-1097","2013-074",2013
630367,"GMD008086.pdf","GMD008086.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-075_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008086","1","MCDF-0177-1174","2013-075",2013
629132,"GMD008094.pdf","GMD008094.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-076_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008094","1","MCDF-0177-1274","2013-076",2013
633294,"GMD008102.pdf","GMD008102.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-077_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008102","1","MCDF-0177-1362","2013-077",2013
511712,"GMD008110.pdf","GMD008110.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-078_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008110","1","MCDF-0177-1555","2013-078",2013
640077,"GMD008118.pdf","GMD008118.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-079_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008118","1","MCDF-0177-1630","2013-079",2013
527708,"GMD008126.pdf","GMD008126.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-080_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008126","1","MCDF-0177-1714","2013-080",2013
618642,"GMD008134.pdf","GMD008134.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-081_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008134","1","MCDF-0177-1793","2013-081",2013
637555,"GMD008142.pdf","GMD008142.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-082_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008142","1","MCDF-0177-1899","2013-082",2013
535009,"GMD008166.pdf","GMD008166.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-083_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008166","1","MCDF-0178-0001","2013-083",2013
655166,"GMD008174.pdf","GMD008174.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-084_01_Official Financial Advisor Letter","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008174","1","MCDF-0178-0075","2013-084",2013
565496,"GMD008182.pdf","GMD008182.pdf","CapitalMarkets","01_Official Financial Advisor Letter","CapitalMarkets","","2013-085_01_Official Financial Advisor Letter.pdf","","Capital Markets","","01_Official Financial Advisor Letter","","GMD008182","1","MCDF-0178-0251","2013-085",2013
