DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion
24994798,TRUE,\common\DAMS Training Guide v1.0.pdf,DAMS Training Guide v1.0.pdf,All Participant Memos,Documentation,cm:content,,FALSE,FALSE
1980459,TRUE,\common\DAMS_Basic_Navigation_Guide.pdf,DAMS_Basic_Navigation_Guide.pdf,All Participant Memos,Documentation,cm:content,,FALSE,FALSE
