DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion,damsasp:extDocSource,damsasp:extDocId,,damsasp:extDocVersion,apm:apmNumber,apm:apmYear,apm:beginningBatesNumber,apm:endingBatesNumber,apm:startImage,apm:endImage,,remiccd:subtype,remiccd:sponsor,remiccd:dealNumber,,oipmroot:issuerName,oipmroot:issuerNumber
115387,TRUE,dams_sample.pdf,2013-088_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD008208,,,,,,,,,,,Test,12345,,,
133059,TRUE,dams_sample.pdf,2013-133_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD008656,,,,,,,,,,,Test,12345,,,
233148,TRUE,dams_sample.pdf,2013-H14_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD008316,,,,,,,,,,,Test,12345,,,
155414,TRUE,dams_sample.pdf,2013-122_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD008544,,,,,,,,,,,Test,12345,,,
369955,TRUE,dams_sample.pdf,2011-H16_02_Transaction Initiation Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011782,,,,,,,,,,,Test,12345,,,
167059,TRUE,dams_sample.pdf,2011-047_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010527,,,,,,,,,,,Test,12345,,,
5216209,TRUE,dams_sample.pdf,2011-C12_08_Closing Document - Disk.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011724,,,,,,,,,,,Test,12345,,,
289860,TRUE,dams_sample.pdf,2010-C21_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010003,,,,,,,,,,,Test,12345,,,
2635763,TRUE,dams_sample.pdf,2010-H12_06_Offering Circulator Supplement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010026,,,,,,,,,,,Test,12345,,,
179410,TRUE,dams_sample.pdf,2010-H12_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010027,,,,,,,,,,,Test,12345,,,
530787,TRUE,dams_sample.pdf,2010-H16_01_Official Financial Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010053,,,,,,,,,,,Test,12345,,,
468643,TRUE,dams_sample.pdf,2010-C11_02_Transaction Initiation Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009918,,,,,,,,,,,Test,12345,,,
