file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
OIP00023_3908_WEBSTER BANK.pdf,OIP00023_3908_WEBSTER BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3908,WEBSTER BANK,Other
OIP00024_3911_FIRST NATIONAL BANK OF LEESPORT.pdf,OIP00024_3911_FIRST NATIONAL BANK OF LEESPORT.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3911,FIRST NATIONAL BANK OF LEESPORT,Other
OIP00025_2882_Golden First Mortgage.pdf,OIP00025_2882_Golden First Mortgage.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2882,Golden First Mortgage,Other
OIP00026_3104_BANC OKLAHOMA MORTGAGE CORPORATION.pdf,OIP00026_3104_BANC OKLAHOMA MORTGAGE CORPORATION.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3104,BANC OKLAHOMA MORTGAGE CORPORATION,Other
OIP00027_3107_SANTANDER MORTGAGE CORPORATION.pdf,OIP00027_3107_SANTANDER MORTGAGE CORPORATION.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3107,SANTANDER MORTGAGE CORPORATION,Other
OIP00028_3115_PATRICIAN MORTGAGE COMPANY.pdf,OIP00028_3115_PATRICIAN MORTGAGE COMPANY.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3115,PATRICIAN MORTGAGE COMPANY,Other
OIP00029_3121_FIRST SUN MORTGAGE.pdf,OIP00029_3121_FIRST SUN MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3121,FIRST SUN MORTGAGE,Other
OIP00030_3100_HARTFORD FUNDING.pdf,OIP00030_3100_HARTFORD FUNDING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3100,HARTFORD FUNDING,Other
OIP00031_3126_MOUNTAIN STATE MORTGAGE CENTER.pdf,OIP00031_3126_MOUNTAIN STATE MORTGAGE CENTER.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3126,MOUNTAIN STATE MORTGAGE CENTER,Other
OIP00032_3126_MOUNTAIN STATE MORTGAGE CENTER.pdf,OIP00032_3126_MOUNTAIN STATE MORTGAGE CENTER.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3126,MOUNTAIN STATE MORTGAGE CENTER,Other
OIP00033_3127_RELATED MORTGAGE COMPANY.pdf,OIP00033_3127_RELATED MORTGAGE COMPANY.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3127,RELATED MORTGAGE COMPANY,Other
OIP00034_3134_ALLIED GROUP.pdf,OIP00034_3134_ALLIED GROUP.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3134,ALLIED GROUP,Other
OIP00035_3151_CITY MORTGAGE CORPORATION.pdf,OIP00035_3151_CITY MORTGAGE CORPORATION.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3151,CITY MORTGAGE CORPORATION,Other
