"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
10976472,"GMD018168.pdf","GMD018168.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Capstone Realty Advisors, LLC.","SUPP","7/22/2009","","MLTF","3846","Capstone Realty Advisors, LLC.","","GMD018168","1"
110115,"GMD018169.pdf","GMD018169.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Capital Source Mortgage Finance, LLC.","SUPP","","","MLTF","3991","Capital Source Mortgage Finance, LLC.","","GMD018169","1"
111760,"GMD018170.pdf","GMD018170.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Berkshire Mortgage Finance Limited Partnership","SUPP","","","MLTF","3305","Berkshire Mortgage Finance Limited Partnership","","GMD018170","1"
1359653,"GMD018171.pdf","GMD018171.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Berkshire Mortgage Finance Limited Partnership","SUPP","","","MLTF","3784","Berkshire Mortgage Finance Limited Partnership","","GMD018171","1"
215341,"GMD018174.pdf","GMD018174.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Chase Mortgage Company - West","SUPP","8/24/2004","","MLTF","1801","Chase Mortgage Company - West","","GMD018174","1"
2852724,"GMD018172.pdf","GMD018172.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Bank Of America NT & SA, Real","SUPP","","","MLTF","1422","Bank Of America NT & SA, Real","","GMD018172","1"
165244,"GMD018173.pdf","GMD018173.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Arcs Commercial Mortgage, CO.","SUPP","","","MLTF","3795","Arcs Commercial Mortgage, CO.","","GMD018173","1"
13567125,"GMD018175.pdf","GMD018175.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Tri Acceptance Corp.","SUPP","","","MLTF","3258","Tri Acceptance Corp.","","GMD018175","1"
12447389,"GMD018176.pdf","GMD018176.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Capri Capital Associates, LLC.","SUPP","","","MLTF","3838","Capri Capital Associates, LLC.","","GMD018176","1"
9204277,"GMD018177.pdf","GMD018177.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Reilly Mortgage Group, Inc.","SUPP","5/26/2006","","MLTF","2588","Reilly Mortgage Group, Inc.","","GMD018177","1"
33410771,"GMD018178.pdf","GMD018178.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Suburban Mortgage Association, Inc","SUPP","12/1/2005","","MLTF","2269","Suburban Mortgage Association, Inc","","GMD018178","1"
6942486,"GMD018179.pdf","GMD018179.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Standard Mortgage Corp.","SUPP","","","MLTF","1699","Standard Mortgage Corp.","","GMD018179","1"
196164,"GMD018180.pdf","GMD018180.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Related Mortgage Corp.","SUPP","","","MLTF","3127","Related Mortgage Corp.","","GMD018180","1"
624589,"GMD018181.pdf","GMD018181.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Red Stone Agency Lending, LLC.","SUPP","","","MLTF","4000","Red Stone Agency Lending, LLC.","","GMD018181","1"
386928,"GMD018182.pdf","GMD018182.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","R & G Mortgage Corporation","SUPP","","","MLTF","2083","R & G Mortgage Corporation","","GMD018182","1"
14512166,"GMD018183.pdf","GMD018183.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Prairie Mortgage CO.","SUPP","","","MLTF","3520","Prairie Mortgage CO.","","GMD018183","1"
370668,"GMD018184.pdf","GMD018184.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Pine State Mortgage Corp.","SUPP","","","MLTF","3769","Pine State Mortgage Corp.","","GMD018184","1"
