"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
34716,"GMD018806.pdf","GMD018806.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Fleet Mortgage Group, In","MISC","","","MLTF","","","","GMD018806","1"
36869,"GMD018804.pdf","GMD018804.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Haynes and Boone, LLP","MISC","","","MLTF","","","","GMD018804","1"
33797,"GMD019387.pdf","GMD019387.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chase Manhattan Mortgage","MISC","","","MLTF","","","","GMD019387","1"
35151,"GMD018805.pdf","GMD018805.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GMAC Mortgage","MISC","","","MLTF","","","","GMD018805","1"
34961,"GMD019425.pdf","GMD019425.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Banco Popular de Puerto","MISC","","","MLTF","","","","GMD019425","1"
33482,"GMD019386.pdf","GMD019386.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chase Manhattan Mortgage","MISC","","","MLTF","","","","GMD019386","1"
34873,"GMD019286.pdf","GMD019286.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Nationwide Mortgag","MISC","","","MLTF","","","","GMD019286","1"
58275,"GMD019014.pdf","GMD019014.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019014","1"
29845,"GMD018919.pdf","GMD018919.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018919","1"
40087,"GMD019016.pdf","GMD019016.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019016","1"
37078,"GMD018929.pdf","GMD018929.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018929","1"
39049,"GMD018812.pdf","GMD018812.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Weiner, Brodsky, Sidman","MISC","","","MLTF","","","","GMD018812","1"
37115,"GMD018897.pdf","GMD018897.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018897","1"
38774,"GMD018854.pdf","GMD018854.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Resolution Trust Corpora","MISC","","","MLTF","","","","GMD018854","1"
51546,"GMD019455.pdf","GMD019455.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Allen Parker Company","MISC","","","MLTF","","","","GMD019455","1"
38323,"GMD018865.pdf","GMD018865.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Platte Valley Funding, L","MISC","","","MLTF","","","","GMD018865","1"
35145,"GMD018837.pdf","GMD018837.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Sedgwick James, Inc","MISC","","","MLTF","","","","GMD018837","1"
33437,"GMD019381.pdf","GMD019381.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chemical Bank","MISC","","","MLTF","","","","GMD019381","1"
31596,"GMD019013.pdf","GMD019013.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019013","1"
41495,"GMD019457.pdf","GMD019457.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Alaska Housing Finance C","MISC","","","MLTF","","","","GMD019457","1"
36790,"GMD019135.pdf","GMD019135.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Metmor Financial Inc","MISC","","","MLTF","","","","GMD019135","1"
36584,"GMD019018.pdf","GMD019018.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019018","1"
66942,"GMD019136.pdf","GMD019136.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Merrill Lynch Credit Cor","MISC","","","MLTF","","","","GMD019136","1"
53154,"GMD019436.pdf","GMD019436.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Atlantic Residential Mor","MISC","","","MLTF","","","","GMD019436","1"
35909,"GMD019085.pdf","GMD019085.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Norwest Mortgage, Inc","MISC","","","MLTF","","","","GMD019085","1"
35909,"GMD019445.pdf","GMD019445.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","AmerUs Mortgage","MISC","","","MLTF","","","","GMD019445","1"
35843,"GMD019273.pdf","GMD019273.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Union Mortgage Cor","MISC","","","MLTF","","","","GMD019273","1"
28946,"GMD019019.pdf","GMD019019.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019019","1"
33203,"GMD019312.pdf","GMD019312.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Eastern Mortgage Service","MISC","","","MLTF","","","","GMD019312","1"
22397,"GMD018899.pdf","GMD018899.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018899","1"
26607,"GMD018944.pdf","GMD018944.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018944","1"
52446,"GMD019097.pdf","GMD019097.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","NationsBanc Mortgage Cor","MISC","","","MLTF","","","","GMD019097","1"
38849,"GMD018886.pdf","GMD018886.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018886","1"
54632,"GMD019084.pdf","GMD019084.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Norwest Mortgage, Inc","MISC","","","MLTF","","","","GMD019084","1"
42306,"GMD019134.pdf","GMD019134.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Metmor Financial Inc","MISC","","","MLTF","","","","GMD019134","1"
64610,"GMD019274.pdf","GMD019274.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Union Corporation","MISC","","","MLTF","","","","GMD019274","1"
58063,"GMD019404.pdf","GMD019404.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","BB&T Mortgage Secondary","MISC","","","MLTF","","","","GMD019404","1"
62139,"GMD019170.pdf","GMD019170.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Lomas Mortgage USA","MISC","","","MLTF","","","","GMD019170","1"
44019,"GMD019369.pdf","GMD019369.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","CH Mortgage Company","MISC","","","MLTF","","","","GMD019369","1"
28623,"GMD019012.pdf","GMD019012.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019012","1"
58955,"GMD019398.pdf","GMD019398.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Carl I Brown and Company","MISC","","","MLTF","","","","GMD019398","1"
36201,"GMD018947.pdf","GMD018947.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018947","1"
34451,"GMD019246.pdf","GMD019246.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Glendale Federal Bank","MISC","","","MLTF","","","","GMD019246","1"
49298,"GMD019317.pdf","GMD019317.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Dovenmuehle Mortgage, In","MISC","","","MLTF","","","","GMD019317","1"
31777,"GMD019133.pdf","GMD019133.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Metmor Financial Inc","MISC","","","MLTF","","","","GMD019133","1"
32690,"GMD019272.pdf","GMD019272.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Union Mortgage Cor","MISC","","","MLTF","","","","GMD019272","1"
31134,"GMD019116.pdf","GMD019116.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Midland Mortgage Co","MISC","","","MLTF","","","","GMD019116","1"
65808,"GMD019291.pdf","GMD019291.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Interstate Mortgag","MISC","","","MLTF","","","","GMD019291","1"
64510,"GMD018946.pdf","GMD018946.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018946","1"
32794,"GMD019333.pdf","GMD019333.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Countrywide Funding Corp","MISC","","","MLTF","","","","GMD019333","1"
34246,"GMD018813.pdf","GMD018813.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Washington Capital Assoc","MISC","","","MLTF","","","","GMD018813","1"
49247,"GMD019308.pdf","GMD019308.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Corstan","MISC","","","MLTF","","","","GMD019308","1"
32068,"GMD018928.pdf","GMD018928.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018928","1"
51005,"GMD019111.pdf","GMD019111.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Mortgage Banking Custodi","MISC","","","MLTF","","","","GMD019111","1"
38737,"GMD018832.pdf","GMD018832.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Source One Mortgage Serv","MISC","","","MLTF","","","","GMD018832","1"
56066,"GMD019355.pdf","GMD019355.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Columbia National Incorp","MISC","","","MLTF","","","","GMD019355","1"
26912,"GMD018845.pdf","GMD018845.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Saratoga Jewish Center I","MISC","","","MLTF","","","","GMD018845","1"
38435,"GMD019451.pdf","GMD019451.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","American Bank & Trust Co","MISC","","","MLTF","","","","GMD019451","1"
36339,"GMD019058.pdf","GMD019058.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Norwest Mortgage Inc","MISC","","","MLTF","","","","GMD019058","1"
38207,"GMD018833.pdf","GMD018833.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Simmons First Mortgage C","MISC","","","MLTF","","","","GMD018833","1"
28241,"GMD019011.pdf","GMD019011.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019011","1"
40516,"GMD019142.pdf","GMD019142.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Mercantile Bank NA","MISC","","","MLTF","","","","GMD019142","1"
35913,"GMD019086.pdf","GMD019086.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Navy Federal Credit Unio","MISC","","","MLTF","","","","GMD019086","1"
36995,"GMD019193.pdf","GMD019193.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Keycorp Mortgage Inc","MISC","","","MLTF","","","","GMD019193","1"
42050,"GMD019293.pdf","GMD019293.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Fidelity Bank, NA","MISC","","","MLTF","","","","GMD019293","1"
36062,"GMD019214.pdf","GMD019214.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","ITT Residential Capital","MISC","","","MLTF","","","","GMD019214","1"
36335,"GMD019332.pdf","GMD019332.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Countrywide Funding Corp","MISC","","","MLTF","","","","GMD019332","1"
43223,"GMD019275.pdf","GMD019275.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Trust","MISC","","","MLTF","","","","GMD019275","1"
33690,"GMD019393.pdf","GMD019393.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chemical Residential Mor","MISC","","","MLTF","","","","GMD019393","1"
35616,"GMD019316.pdf","GMD019316.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Downey Savings and Loan","MISC","","","MLTF","","","","GMD019316","1"
37595,"GMD019330.pdf","GMD019330.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Countrywide Funding Corp","MISC","","","MLTF","","","","GMD019330","1"
35444,"GMD019378.pdf","GMD019378.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chemical Bank","MISC","","","MLTF","","","","GMD019378","1"
45033,"GMD019380.pdf","GMD019380.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chemical Bank","MISC","","","MLTF","","","","GMD019380","1"
29466,"GMD019379.pdf","GMD019379.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Chemical Bank","MISC","","","MLTF","","","","GMD019379","1"
30686,"GMD019419.pdf","GMD019419.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Bank of America NT & SA","MISC","","","MLTF","","","","GMD019419","1"
