"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:department","oipmroot:documentType","oipmroot:issuerNumber","oipmroot:issuerName","oipmroot:terminationDate","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
7039335,"GMD040633.pdf","GMD040633.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","AMERICAN CAPITOL RESOURCE, INC - Jun-06","OIPM","ISSUER FILE","3137","AMERICAN CAPITOL RESOURCE, INC","Jun-06","","GMD040633","1"
15311045,"GMD040634.pdf","GMD040634.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CAROLINA FIRST BANK - Jan-95","OIPM","ISSUER FILE","3671","CAROLINA FIRST BANK","Jan-95","","GMD040634","1"
12087528,"GMD040635.pdf","GMD040635.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","EMIGRANT MORTGAGE COMPANY - Oct-02","OIPM","ISSUER FILE","3690","EMIGRANT MORTGAGE COMPANY","Oct-02","","GMD040635","1"
9471473,"GMD040636.pdf","GMD040636.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","INTERMOUNTAIN MORTGAGE CO, INC. - Jul-02","OIPM","ISSUER FILE","3720","INTERMOUNTAIN MORTGAGE CO, INC.","Jul-02","","GMD040636","1"
7783206,"GMD040637.pdf","GMD040637.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","JEFFERSON MORTGAGE SERVICES - Jan-06","OIPM","ISSUER FILE","3727","JEFFERSON MORTGAGE SERVICES","Jan-06","","GMD040637","1"
12631113,"GMD040638.pdf","GMD040638.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MIAMI VALLEY BANK - May-08","OIPM","ISSUER FILE","3188","MIAMI VALLEY BANK","May-08","","GMD040638","1"
10431260,"GMD040639.pdf","GMD040639.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","NORTH COMMUNITY BANK - Jul-07","OIPM","ISSUER FILE","3241","NORTH COMMUNITY BANK","Jul-07","","GMD040639","1"
12466840,"GMD040640.pdf","GMD040640.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PINE STATE MORTGAGE - Apr-11","OIPM","ISSUER FILE","3769","PINE STATE MORTGAGE","Apr-11","","GMD040640","1"
12112677,"GMD040641.pdf","GMD040641.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","HEARTLAND CAPITAL CORPORATION - Feb-07","OIPM","ISSUER FILE","3796","HEARTLAND CAPITAL CORPORATION","Feb-07","","GMD040641","1"
27705597,"GMD040642.pdf","GMD040642.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FIRST BANCORP MORTGAGE - Feb-06","OIPM","ISSUER FILE","3728","FIRST BANCORP MORTGAGE","Feb-06","","GMD040642","1"
30210367,"GMD040643.pdf","GMD040643.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","REPUBLIC BANK - Apr-96","OIPM","ISSUER FILE","3735","REPUBLIC BANK","Apr-96","","GMD040643","1"
17788698,"GMD040644.pdf","GMD040644.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","F&M MORTGAGE SERVICES, INC. - Aug-08","OIPM","ISSUER FILE","3742","F&M MORTGAGE SERVICES, INC.","Aug-08","","GMD040644","1"
11202162,"GMD040645.pdf","GMD040645.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","AMERICAN PROPERTY FINANCING, INC. - Oct-00","OIPM","ISSUER FILE","3746","AMERICAN PROPERTY FINANCING, INC.","Oct-00","","GMD040645","1"
16462285,"GMD040646.pdf","GMD040646.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","SUPERIOR FEDERAL BANK - Aug-98","OIPM","ISSUER FILE","2704","SUPERIOR FEDERAL BANK","Aug-98","","GMD040646","1"
28561921,"GMD040647.pdf","GMD040647.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","GE CAPITAL MORTGAGE SERVICES, INC. - Mar-95","OIPM","ISSUER FILE","2737","GE CAPITAL MORTGAGE SERVICES, INC.","Mar-95","","GMD040647","1"
10667645,"GMD040648.pdf","GMD040648.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PHILADELPHIA FREEDOM CORPORATION - Oct-02","OIPM","ISSUER FILE","2791","PHILADELPHIA FREEDOM CORPORATION","Oct-02","","GMD040648","1"
18688282,"GMD040649.pdf","GMD040649.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","STERLING BANK & TRUST - Dec-99","OIPM","ISSUER FILE","2940","STERLING BANK & TRUST","Dec-99","","GMD040649","1"
17598305,"GMD040650.pdf","GMD040650.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","TRI ACCEPTANCE CORPORATION - Oct-06","OIPM","ISSUER FILE","3258","TRI ACCEPTANCE CORPORATION","Oct-06","","GMD040650","1"
69912373,"GMD040651.pdf","GMD040651.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MID AMERICA BANK. FSB - Oct-07","OIPM","ISSUER FILE","3260","MID AMERICA BANK. FSB","Oct-07","","GMD040651","1"
18737507,"GMD040652.pdf","GMD040652.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","BERKSHIRE FINANCIAL MORTGAGE CORP - Aug-02","OIPM","ISSUER FILE","3305","BERKSHIRE FINANCIAL MORTGAGE CORP","Aug-02","","GMD040652","1"
14823172,"GMD040653.pdf","GMD040653.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MOLTEN, ALLEN, & WILLIAMS MORTGAGE CO. - Feb-07","OIPM","ISSUER FILE","3344","MOLTEN, ALLEN, & WILLIAMS MORTGAGE CO.","Feb-07","","GMD040653","1"
5875713,"GMD040654.pdf","GMD040654.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PFC CORPORATION - Mar-07","OIPM","ISSUER FILE","3358","PFC CORPORATION","Mar-07","","GMD040654","1"
27407539,"GMD040655.pdf","GMD040655.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MALONE MORTGAGE COMPANY - Feb-00","OIPM","ISSUER FILE","3405","MALONE MORTGAGE COMPANY","Feb-00","","GMD040655","1"
