"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:department","oipmroot:documentType","oipmroot:issuerNumber","oipmroot:issuerName","oipmroot:terminationDate","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
5030938,"GMD040564.pdf","GMD040564.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","JMFC FUNDING CORPORATION - Jun-99","OIPM","ISSUER FILE","3726","JMFC FUNDING CORPORATION","Jun-99","","GMD040564","1"
6153312,"GMD040565.pdf","GMD040565.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","NATIONAL MORTGAGE CORPORATION - Apr-01","OIPM","ISSUER FILE","3521","NATIONAL MORTGAGE CORPORATION","Apr-01","","GMD040565","1"
9979990,"GMD040566.pdf","GMD040566.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","JUPITER MORTGAGE CORPORATION - Feb-06","OIPM","ISSUER FILE","3538","JUPITER MORTGAGE CORPORATION","Feb-06","","GMD040566","1"
7262360,"GMD040567.pdf","GMD040567.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FIRST COLORADO MORTGAGE CORPORATION - Jun-01","OIPM","ISSUER FILE","3461","FIRST COLORADO MORTGAGE CORPORATION","Jun-01","","GMD040567","1"
107595721,"GMD040568.pdf","GMD040568.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","SECURITY ONE LENDING - Mar-14","OIPM","ISSUER FILE","4190","SECURITY ONE LENDING","Mar-14","","GMD040568","1"
112837978,"GMD040569.pdf","GMD040569.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PACIFIC MERCANTILE BANK - Dec-14","OIPM","ISSUER FILE","4161","PACIFIC MERCANTILE BANK","Dec-14","","GMD040569","1"
26906341,"GMD040570.pdf","GMD040570.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PITTSBURGH NATIONAL BANK - Apr-17","OIPM","ISSUER FILE","3561","PITTSBURGH NATIONAL BANK","Apr-17","","GMD040570","1"
25315976,"GMD040571.pdf","GMD040571.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","ALLIANCE MORTGAGE COMPANY - Apr-17","OIPM","ISSUER FILE","2219","ALLIANCE MORTGAGE COMPANY","Apr-17","","GMD040571","1"
30127658,"GMD040572.pdf","GMD040572.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","GREEN TREE - Apr-17","OIPM","ISSUER FILE","2232","GREEN TREE","Apr-17","","GMD040572","1"
9734391,"GMD040573.pdf","GMD040573.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CAPITOL COMMERCE MORTGAGE COMPANY - Apr-17","OIPM","ISSUER FILE","2369","CAPITOL COMMERCE MORTGAGE COMPANY","Apr-17","","GMD040573","1"
96453043,"GMD040574.pdf","GMD040574.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","RESIDENTIAL CREDIT SOLUTIONS - Nov-12","OIPM","ISSUER FILE","4169","RESIDENTIAL CREDIT SOLUTIONS","Nov-12","","GMD040574","1"
13947237,"GMD040575.pdf","GMD040575.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","SUNSHINE MORTGAGE CORPORATION - Apr-17","OIPM","ISSUER FILE","2567","SUNSHINE MORTGAGE CORPORATION","Apr-17","","GMD040575","1"
14185573,"GMD040576.pdf","GMD040576.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","RYLAND MORTGAGE COMPANY - Apr-17","OIPM","ISSUER FILE","2582","RYLAND MORTGAGE COMPANY","Apr-17","","GMD040576","1"
23330982,"GMD040577.pdf","GMD040577.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","REILLY MORTGAGE GROUP, INC. - Apr-17","OIPM","ISSUER FILE","2588","REILLY MORTGAGE GROUP, INC.","Apr-17","","GMD040577","1"
9353336,"GMD040578.pdf","GMD040578.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","YORK FEDERAL SAVINGS AND LOANS - Apr-17","OIPM","ISSUER FILE","3504","YORK FEDERAL SAVINGS AND LOANS","Apr-17","","GMD040578","1"
13255273,"GMD040579.pdf","GMD040579.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","BENCHMARK MORTGAGE CORPORATION - May-06","OIPM","ISSUER FILE","2596","BENCHMARK MORTGAGE CORPORATION","May-06","","GMD040579","1"
28350156,"GMD040580.pdf","GMD040580.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FIRST EQUITY MORTGAGE BANKERS, - Apr-11","OIPM","ISSUER FILE","3959","FIRST EQUITY MORTGAGE BANKERS,","Apr-11","","GMD040580","1"
137916983,"GMD040581.pdf","GMD040581.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FIRST NATIONAL COMMUNITY BANK - Apr-11","OIPM","ISSUER FILE","3978","FIRST NATIONAL COMMUNITY BANK","Apr-11","","GMD040581","1"
30826465,"GMD040582.pdf","GMD040582.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","Q LENDING INCORPORATED - Dec-10","OIPM","ISSUER FILE","3990","Q LENDING INCORPORATED","Dec-10","","GMD040582","1"
18045467,"GMD040583.pdf","GMD040583.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","THE PROVIDENT BANK - Aug-08","OIPM","ISSUER FILE","3612","THE PROVIDENT BANK","Aug-08","","GMD040583","1"
13970246,"GMD040584.pdf","GMD040584.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CONTINENTAL CAPITAL CORP. - Aug-06","OIPM","ISSUER FILE","3596","CONTINENTAL CAPITAL CORP.","Aug-06","","GMD040584","1"
28243064,"GMD040585.pdf","GMD040585.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CENTRAL CAROLINA BANK - Feb-94","OIPM","ISSUER FILE","3633","CENTRAL CAROLINA BANK","Feb-94","","GMD040585","1"
5909170,"GMD040586.pdf","GMD040586.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PENINSULA MORTGAGE BANKERS CORP - Jul-94","OIPM","ISSUER FILE","3649","PENINSULA MORTGAGE BANKERS CORP","Jul-94","","GMD040586","1"
13646482,"GMD040587.pdf","GMD040587.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FIRST FINANCIAL BANK - Jun-99","OIPM","ISSUER FILE","1517","FIRST FINANCIAL BANK","Jun-99","","GMD040587","1"
37523924,"GMD040588.pdf","GMD040588.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","HOMEBANC MORTGAGE CORPORATION - Jun-06","OIPM","ISSUER FILE","3916","HOMEBANC MORTGAGE CORPORATION","Jun-06","","GMD040588","1"
16055100,"GMD040589.pdf","GMD040589.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","SIB MORTGAGE CORP. - May-06","OIPM","ISSUER FILE","3922","SIB MORTGAGE CORP.","May-06","","GMD040589","1"
9498264,"GMD040590.pdf","GMD040590.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MADISON MORTGAGE CORPORATION - Feb-09","OIPM","ISSUER FILE","3931","MADISON MORTGAGE CORPORATION","Feb-09","","GMD040590","1"
26143814,"GMD040591.pdf","GMD040591.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","UNITED FINANCIAL MORTGAGE CORP - Oct-07","OIPM","ISSUER FILE","3865","UNITED FINANCIAL MORTGAGE CORP","Oct-07","","GMD040591","1"
21292151,"GMD040592.pdf","GMD040592.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PAN AMERICAN FINANCIAL CORPORA - May-06","OIPM","ISSUER FILE","3868","PAN AMERICAN FINANCIAL CORPORA","May-06","","GMD040592","1"
22894078,"GMD040593.pdf","GMD040593.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","LEGG MASON REAL ESTATE - Feb-00","OIPM","ISSUER FILE","3884","LEGG MASON REAL ESTATE","Feb-00","","GMD040593","1"
22181266,"GMD040594.pdf","GMD040594.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CHAPEL MORTGAGE - Mar-00","OIPM","ISSUER FILE","3885","CHAPEL MORTGAGE","Mar-00","","GMD040594","1"
16578001,"GMD040595.pdf","GMD040595.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FRANKLIN NATIONAL - Nov-99","OIPM","ISSUER FILE","3874","FRANKLIN NATIONAL","Nov-99","","GMD040595","1"
24888323,"GMD040596.pdf","GMD040596.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","GREENPOINT MORTGAGE - Apr-00","OIPM","ISSUER FILE","3889","GREENPOINT MORTGAGE","Apr-00","","GMD040596","1"
12819977,"GMD040597.pdf","GMD040597.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PRINCIPAL RESIDENTIAL - Dec-05","OIPM","ISSUER FILE","3892","PRINCIPAL RESIDENTIAL","Dec-05","","GMD040597","1"
10450875,"GMD040598.pdf","GMD040598.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","COLONIAL BANK - Dec-09","OIPM","ISSUER FILE","3882","COLONIAL BANK","Dec-09","","GMD040598","1"
41893563,"GMD040599.pdf","GMD040599.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FLEET NATIONAL BANK - May-06","OIPM","ISSUER FILE","3895","FLEET NATIONAL BANK","May-06","","GMD040599","1"
7599169,"GMD040600.pdf","GMD040600.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","LOCKHEED MARTIN LENDER - Jun-06","OIPM","ISSUER FILE","3904","LOCKHEED MARTIN LENDER","Jun-06","","GMD040600","1"
5439107,"GMD040601.pdf","GMD040601.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","HOMESIDE HOLDINGS, INCORPORATED - May-05","OIPM","ISSUER FILE","1439","HOMESIDE HOLDINGS, INCORPORATED","May-05","","GMD040601","1"
13895108,"GMD040602.pdf","GMD040602.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CALIFORNIA MORTGAGE SERVICE - Jul-02","OIPM","ISSUER FILE","1446","CALIFORNIA MORTGAGE SERVICE","Jul-02","","GMD040602","1"
47884774,"GMD040603.pdf","GMD040603.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FIRST TENNESSEE BANK - Jul-07","OIPM","ISSUER FILE","1524","FIRST TENNESSEE BANK","Jul-07","","GMD040603","1"
9987045,"GMD040604.pdf","GMD040604.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","KAUFMAN & BROAD MORTGAGE COMPANY - Apr-04","OIPM","ISSUER FILE","1571","KAUFMAN & BROAD MORTGAGE COMPANY","Apr-04","","GMD040604","1"
13834007,"GMD040605.pdf","GMD040605.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","LAKELAND REGIONAL MORTGAGE CORPORATION - Oct-08","OIPM","ISSUER FILE","3933","LAKELAND REGIONAL MORTGAGE CORPORATION","Oct-08","","GMD040605","1"
10792372,"GMD040606.pdf","GMD040606.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","SECURITY SERVICE FEDERAL CREDIT UNION - Dec-02","OIPM","ISSUER FILE","3944","SECURITY SERVICE FEDERAL CREDIT UNION","Dec-02","","GMD040606","1"
30127651,"GMD040607.pdf","GMD040607.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","R-G CROWN BANK - Aug-08","OIPM","ISSUER FILE","3945","R-G CROWN BANK","Aug-08","","GMD040607","1"
5748388,"GMD040608.pdf","GMD040608.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","HOUSTON SAVINGS ASSOCIATION - Jul-00","OIPM","ISSUER FILE","3542","HOUSTON SAVINGS ASSOCIATION","Jul-00","","GMD040608","1"
9776353,"GMD040609.pdf","GMD040609.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","TEXAS STATE BANK - Apr-11","OIPM","ISSUER FILE","2145","TEXAS STATE BANK","Apr-11","","GMD040609","1"
19955557,"GMD040610.pdf","GMD040610.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","TRANSWORLD MORTGAGE CORPORATION - Nov-97","OIPM","ISSUER FILE","3491","TRANSWORLD MORTGAGE CORPORATION","Nov-97","","GMD040610","1"
23346354,"GMD040611.pdf","GMD040611.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CONTINENTAL SECURITIES LLC - Jun-01","OIPM","ISSUER FILE","3909","CONTINENTAL SECURITIES LLC","Jun-01","","GMD040611","1"
7534824,"GMD040612.pdf","GMD040612.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MERCURY MORTGAGE INC. - Sep-04","OIPM","ISSUER FILE","1847","MERCURY MORTGAGE INC.","Sep-04","","GMD040612","1"
14390247,"GMD040613.pdf","GMD040613.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","ALLEN PARKER COMPANY - May-95","OIPM","ISSUER FILE","2058","ALLEN PARKER COMPANY","May-95","","GMD040613","1"
